"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD","SLOAD","SO2_MASS","SO2_RATE","NOX_RATE","NOX_MASS","CO2_MASS","CO2_RATE","HEAT_INPUT"
"AL","Gadsden","7","1","04-09-1995","7.5","8","0","","0","0",".071",".031","92.75",".102","907.85"
"AL","Gadsden","7","1","04-10-1995","24","24","713","","12.654","1.615",".404","2.91","1058.6",".103","10326.7"
"AL","Gadsden","7","1","04-11-1995","24","24","835","","15.811","2.803",".648","3.626","1155.3",".102","11272.3"
"AL","Gadsden","7","1","04-12-1995","24","24","834","","15.683","2.82",".698","3.826","1139.7",".103","11115.9"
"AL","Gadsden","7","1","04-13-1995","24","24","811","","14.682","2.712",".763","4.117","1110.9",".103","10835.7"
"AL","Gadsden","7","1","04-14-1995","24","24","799","","14.492","2.693",".771","4.134","1102.6",".103","10757"
"AL","Gadsden","7","1","04-15-1995","24","24","812","","15.096","2.747",".747","4.047","1125.1",".102","10979.1"
"AL","Gadsden","7","2","04-09-1995","24","24","777","","21.791","1.95",".493","5.459","761.1",".035","21627.6"
"AL","Gadsden","7","2","04-10-1995","24","24","1082","","27.543","2.365",".55","6.362","1011",".043","23227.6"
"AL","Gadsden","7","2","04-11-1995","24","24","1011","","29.6","2.729",".59","6.184","1219.5",".065","21716.6"
"AL","Gadsden","7","2","04-12-1995","24","24","846","","14.515","2.732",".699","3.705","1088.5",".102","10621"
"AL","Gadsden","7","2","04-13-1995","24","24","826","","13.457","2.621",".712","3.644","1051.6",".102","10260.2"
"AL","Gadsden","7","2","04-14-1995","24","24","808","","13.28","2.645",".723","3.626","1028.7",".102","10038.6"
"AL","Gadsden","7","2","04-15-1995","24","24","783","","12.527","2.644",".707","3.347","964.2",".102","9409.7"
"AL","E C Gaston","26","1","04-09-1995","24","24","3568","","27.958","1.353",".499","10.047","4081.223",".103","39781.5"
"AL","E C Gaston","26","1","04-10-1995","24","24","4843","","34.734","1.343",".453","12.419","5375.698",".103","52398.7"
"AL","E C Gaston","26","1","04-11-1995","24","24","4420","","27.894","1.152",".463","11.426","4939.221",".103","48144.1"
"AL","E C Gaston","26","1","04-12-1995","24","24","4392","","26.754","1.101",".502","12.327","4946.053",".103","48211.5"
"AL","E C Gaston","26","1","04-13-1995","24","24","4050","","25.914","1.148",".475","10.815","4585.642",".103","44699.8"
"AL","E C Gaston","26","1","04-14-1995","24","24","2995","","18.775","1.105",".469","8.063","3489.526",".103","34014.8"
"AL","E C Gaston","26","1","04-15-1995","24","24","3023","","19.539","1.151",".494","8.337","3422.311",".103","33359.3"
"AL","E C Gaston","26","2","04-09-1995","24","24","5225","","40.523","1.353",".499","15.076","6107.277",".103","59530.7"
"AL","E C Gaston","26","2","04-10-1995","24","24","4923","","35.334","1.343",".453","12.602","5468.102",".103","53299.4"
"AL","E C Gaston","26","2","04-11-1995","24","24","4388","","27.703","1.152",".463","11.343","4907.479",".103","47834.7"
"AL","E C Gaston","26","2","04-12-1995","24","24","4342","","26.468","1.101",".502","12.179","4896.447",".103","47728"
"AL","E C Gaston","26","2","04-13-1995","24","24","4038","","25.864","1.148",".475","10.782","4582.258",".103","44666.9"
"AL","E C Gaston","26","2","04-14-1995","24","24","3092","","19.375","1.105",".469","8.336","3604.874",".103","35139.2"
"AL","E C Gaston","26","2","04-15-1995","24","24","3192","","20.596","1.151",".494","8.808","3626.189",".103","35346.9"
"AL","E C Gaston","26","3","04-09-1995","24","24","4338","","32.306","1.298",".545","13.468","5071.408",".103","49436.292"
"AL","E C Gaston","26","3","04-10-1995","24","24","5307","","35.848","1.284",".486","13.661","5750.964",".103","56057.946"
"AL","E C Gaston","26","3","04-11-1995","24","24","4961","","29.323","1.233",".478","11.335","4868.568",".103","47458.7"
