"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD","SLOAD","SO2_MASS","SO2_RATE","NOX_RATE","NOX_MASS","CO2_MASS","CO2_RATE","HEAT_INPUT"
"AL","E C Gaston","26","3","01-11-1995","24","24","4722","","39.123","1.478",".399","10.638","5437.1",".103","53005.6"
"AL","E C Gaston","26","3","01-12-1995","24","24","4249","","28.935","1.216",".42","9.953","4882.9",".103","47604"
"AL","E C Gaston","26","3","01-13-1995","24","24","4255","","26.799","1.141",".429","9.97","4824.1",".103","47026.5"
"AL","E C Gaston","26","3","01-14-1995","24","24","4186","","25.663","1.119",".441","10.059","4703.1",".103","45847.7"
"AL","E C Gaston","26","4","01-08-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","4","01-09-1995","1.75","4","2","",".013","1.372",".412",".004","2.003",".103","19.519"
"AL","E C Gaston","26","4","01-10-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","4","01-11-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","4","01-12-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","4","01-13-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","4","01-14-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","5","01-08-1995","13","13","6268","","44.239","1.296",".488","16.211","6988.8",".103","68122.4"
"AL","E C Gaston","26","5","01-09-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","5","01-10-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","5","01-11-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","5","01-12-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","5","01-13-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","5","01-14-1995","0","0","","","","","","","","",""
"AL","Colbert","47","1","01-08-1995","18","20","2554","","17.33","1.447",".4","4.886","2487.958",".103","24249.187"
"AL","Colbert","47","1","01-09-1995","24","24","3834","","27.496","1.48",".407","7.605","3824.649",".103","37277.834"
"AL","Colbert","47","1","01-10-1995","24","24","4510","","31.171","1.403",".394","8.742","4560.427",".103","44448.473"
"AL","Colbert","47","1","01-11-1995","24","24","4625","","36.358","1.514",".404","9.693","4926.596",".103","48016.941"
"AL","Colbert","47","1","01-12-1995","10.5","11","1764","","14.385","1.512",".418","3.928","1951.45",".103","19019.035"
"AL","Colbert","47","1","01-13-1995","0","0","","","","","","","","",""
"AL","Colbert","47","1","01-14-1995","0","0","","","","","","","","",""
"AL","Colbert","47","2","01-08-1995","24","24","4620","","32.36","1.452",".4","8.9","4569.627",".103","44538.28"
"AL","Colbert","47","2","01-09-1995","24","24","4674","","33.736","1.48",".407","9.269","4677.072",".103","45586.245"
"AL","Colbert","47","2","01-10-1995","24","24","4679","","32.346","1.403",".394","9.073","4730.349",".103","46104.634"
"AL","Colbert","47","2","01-11-1995","24","24","4668","","36.691","1.514",".404","9.778","4970.925",".103","48448.986"
"AL","Colbert","47","2","01-12-1995","24","24","4609","","35.682","1.518",".427","10.033","4825.066",".103","47027.548"
"AL","Colbert","47","2","01-13-1995","24","24","4625","","32.734","1.438",".408","9.28","4668.907",".103","45504.349"
"AL","Colbert","47","2","01-14-1995","24","24","4620","","31.668","1.406",".43","9.687","4620.969",".103","45038.761"
"AL","Colbert","47","3","01-08-1995","24","24","4041","","28.175","1.452",".4","7.77","3985.12",".103","38841.466"
"AL","Colbert","47","3","01-09-1995","24","24","3547","","25.454","1.48",".407","7","3536.987",".103","34473.985"
"AL","Colbert","47","3","01-10-1995","24","24","3550","","24.437","1.403",".394","6.856","3575.654",".103","34850.361"
"AL","Colbert","47","3","01-11-1995","24","24","2307","","18.032","1.514",".404","4.723","2435.305",".103","23735.754"
"AL","Colbert","47","3","01-12-1995","24","24","1549","","11.983","1.518",".427","3.374","1620.34",".103","15792.679"
"AL","Colbert","47","3","01-13-1995","24","24","2317","","16.635","1.438",".408","4.681","2359.224",".103","22993.73"
"AL","Colbert","47","3","01-14-1995","24","24","2625","","18.123","1.406",".43","5.635","2646.343",".103","25793.023"
"AL","Colbert","47","4","01-08-1995","24","24","3869","","26.977","1.452",".4","7.441","3815.997",".103","37193.062"
"AL","Colbert","47","4","01-09-1995","24","24","3451","","24.773","1.48",".407","6.821","3443.791",".103","33565.742"
"AL","Colbert","47","4","01-10-1995","24","24","3645","","25.105","1.403",".394","7.045","3673.267",".103","35801.728"
"AL","Colbert","47","4","01-11-1995","24","24","2232","","17.425","1.514",".404","4.553","2351.175",".103","22915.819"
"AL","Colbert","47","4","01-12-1995","24","24","1471","","11.386","1.518",".427","3.202","1539.539",".103","15005.138"
"AL","Colbert","47","4","01-13-1995","24","24","2235","","16.062","1.438",".408","4.518","2277.969",".103","22201.819"
"AL","Colbert","47","4","01-14-1995","24","24","2598","","17.937","1.406",".43","5.576","2618.887",".103","25525.416"
"AL","Colbert","47","5","01-08-1995","0","0","","","","","","","","",""
"AL","Colbert","47","5","01-09-1995","0","0","","","","","","","","",""
"AL","Colbert","47","5","01-10-1995","0","0","","","","","","","","",""
"AL","Colbert","47","5","01-11-1995","0","0","","","","","","","","",""
"AL","Colbert","47","5","01-12-1995","0","0","","","","","","","","",""
"AL","Colbert","47","5","01-13-1995","0","0","","","","","","","","",""
"AL","Colbert","47","5","01-14-1995","0","0","","","","","","","","",""
"AL","Charles R Lowman","56","2","01-08-1995","24","24","5454","","12.671",".434",".606","17.813","6009.5",".103","58571.7"
"AL","Charles R Lowman","56","2","01-09-1995","24","24","5286","","13.679",".491",".578","16.13","5702.2",".103","55577.5"
"AL","Charles R Lowman","56","2","01-10-1995","23","23","3847","","10.403",".75",".529","11.043","4148.9",".103","40436.1"
