"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD","SLOAD","SO2_MASS","SO2_RATE","NOX_RATE","NOX_MASS","CO2_MASS","CO2_RATE","HEAT_INPUT"
"AL","E C Gaston","26","3","12-28-1995","24","24","3944","","23.384","1.176",".486","9.622","4083.845",".103","39807.9"
"AL","E C Gaston","26","3","12-29-1995","24","24","5283","","31.284","1.127",".483","13.368","5657.181",".103","55143.1"
"AL","E C Gaston","26","3","12-30-1995","24","24","3075","","19.007","1.225",".525","8.197","3184.923",".103","31047"
"AL","E C Gaston","26","4","12-24-1995","12.75","13","2383","","12.67","1.092",".436","5.06","2379.29",".103","23192.922"
"AL","E C Gaston","26","4","12-25-1995","11.25","12","138","",".972","1.163",".468",".368","175.049",".103","1706.233"
"AL","E C Gaston","26","4","12-26-1995","24","24","3615","","21.363","1.174",".456","8.322","3752.154",".103","36574.3"
"AL","E C Gaston","26","4","12-27-1995","24","24","3175","","19.443","1.226",".47","7.473","3253.013",".103","31710.2"
"AL","E C Gaston","26","4","12-28-1995","24","24","3608","","21.392","1.176",".486","8.805","3735.855",".103","36415.8"
"AL","E C Gaston","26","4","12-29-1995","24","24","3826","","22.313","1.127",".483","9.536","4059.419",".103","39569.2"
"AL","E C Gaston","26","4","12-30-1995","24","24","2875","","17.77","1.225",".525","7.658","2977.577",".103","29025.8"
"AL","E C Gaston","26","5","12-24-1995","24","24","10949","","66.665","1.162",".552","31.553","11772.1",".103","114747"
"AL","E C Gaston","26","5","12-25-1995","24","24","11514","","69.287","1.153",".532","31.77","12322.6",".103","120114.5"
"AL","E C Gaston","26","5","12-26-1995","24","24","11645","","69.259","1.155",".47","28.186","12306.3",".103","119956.2"
"AL","E C Gaston","26","5","12-27-1995","24","24","12370","","76.403","1.209",".44","27.795","12968.4",".103","126406.2"
"AL","E C Gaston","26","5","12-28-1995","24","24","13886","","84.561","1.176",".47","33.495","14779.2",".103","144053.6"
"AL","E C Gaston","26","5","12-29-1995","12.25","13","7309","","43.105","1.123",".46","17.125","7842.225",".103","76440.175"
"AL","E C Gaston","26","5","12-30-1995","0","0","","","","","","","","",""
"AL","Colbert","47","1","12-24-1995","24","24","2781","","20.53","1.479",".412","5.701","3040.972",".109","27804.013"
"AL","Colbert","47","1","12-25-1995","24","24","2808","","21.878","1.524",".421","5.977","3125.233",".109","28573.988"
"AL","Colbert","47","1","12-26-1995","24","24","2611","","19.412","1.468",".417","5.47","2891.151",".109","26433.592"
"AL","Colbert","47","1","12-27-1995","24","24","3650","","29.942","1.635",".471","8.657","3984.307",".109","36428.626"
"AL","Colbert","47","1","12-28-1995","24","24","3818","","29.301","1.54",".434","8.251","4179.597",".109","38214.117"
"AL","Colbert","47","1","12-29-1995","24","24","4198","","33.291","1.592",".433","9.086","4580.575",".109","41881.064"
