"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD","SLOAD","SO2_MASS","SO2_RATE","NOX_RATE","NOX_MASS","CO2_MASS","CO2_RATE","HEAT_INPUT"
"AL","Charles R Lowman","56","3","07-01-1995","24","24","4679","","9.517",".373",".602","15.375","5210.9",".103","50788.5"
"AL","Gadsden","7","1","07-02-1995","24","24","791","","18.66","3.283",".604","3.428","1165.2",".103","11367.9"
"AL","Gadsden","7","1","07-03-1995","24","24","843","","18.858","3.222",".602","3.496","1198.7",".103","11693.4"
"AL","Gadsden","7","1","07-04-1995","24","24","796","","18.331","3.251",".591","3.318","1155.2",".103","11269.8"
"AL","Gadsden","7","1","07-05-1995","20.75","21","690","","18.097","3.452",".479","2.774","1067.7",".103","10415"
"AL","Gadsden","7","1","07-06-1995","0","0","","","","","","","","",""
"AL","Gadsden","7","1","07-07-1995","12","12","139","","2.98","3.121",".372",".615","206.7",".102","1817"
"AL","Gadsden","7","1","07-08-1995","24","24","815","","17.731","3.353",".655","3.446","1084.9",".103","10584.2"
"AL","Gadsden","7","2","07-02-1995","24","24","826","","16.55","3.469",".653","3.102","978.3",".102","9545.4"
"AL","Gadsden","7","2","07-03-1995","24","24","920","","16.948","3.174",".621","3.275","1094.7",".102","10681.9"
"AL","Gadsden","7","2","07-04-1995","24","24","831","","15.315","3.128",".621","3.031","1002.7",".102","9786"
"AL","Gadsden","7","2","07-05-1995","24","24","970","","19.38","3.247",".597","3.516","1218",".103","11880.3"
"AL","Gadsden","7","2","07-06-1995","24","24","1036","","22.82","3.203",".559","3.981","1459.8",".103","14237.6"
"AL","Gadsden","7","2","07-07-1995","24","24","1041","","22.377","3.118",".583","4.194","1472.5",".103","14363"
"AL","Gadsden","7","2","07-08-1995","24","24","821","","18.58","3.237",".597","3.421","1176.6",".102","11480.4"
"AL","E C Gaston","26","1","07-02-1995","24","24","3373","","18.645","1.087",".372","6.905","3534.74",".103","34455.4"
"AL","E C Gaston","26","1","07-03-1995","24","24","4143","","30.493","1.409",".379","8.09","4201.248",".103","40953.1"
"AL","E C Gaston","26","1","07-04-1995","24","24","3591","","24.094","1.342",".346","6.75","3701.668",".103","36082.3"
"AL","E C Gaston","26","1","07-05-1995","24","24","4468","","27.877","1.262",".368","8.755","4607.771",".103","44914.8"
"AL","E C Gaston","26","1","07-06-1995","24","24","4459","","26.129","1.164",".381","8.85","4614.189",".103","44977.4"
"AL","E C Gaston","26","1","07-07-1995","24","24","4508","","26.209","1.162",".377","8.766","4587.07",".103","44711.8"
"AL","E C Gaston","26","1","07-08-1995","24","24","4174","","24.338","1.149",".368","8.193","4287.526",".103","41791.8"
"AL","E C Gaston","26","2","07-02-1995","24","24","3395","","18.916","1.087",".372","6.892","3582.46",".103","34920.9"
"AL","E C Gaston","26","2","07-03-1995","24","24","4038","","29.778","1.409",".379","7.882","4103.652",".103","40001.9"
"AL","E C Gaston","26","2","07-04-1995","24","24","3574","","24.197","1.342",".346","6.657","3713.032",".103","36193.5"
"AL","E C Gaston","26","2","07-05-1995","24","24","4498","","28.241","1.262",".368","8.78","4656.829",".103","45393.2"
"AL","E C Gaston","26","2","07-06-1995","24","24","4141","","24.298","1.164",".381","8.259","4290.011",".103","41817.2"
"AL","E C Gaston","26","2","07-07-1995","24","24","4436","","25.8","1.162",".377","8.627","4516.83",".103","44027.1"
"AL","E C Gaston","26","2","07-08-1995","24","24","4267","","24.961","1.149",".368","8.336","4407.974",".103","42966"
"AL","E C Gaston","26","3","07-02-1995","24","24","4068","","22.998","1.117",".433","8.882","4224.519",".103","41178.9"
"AL","E C Gaston","26","3","07-03-1995","24","24","4547","","36.216","1.488",".396","8.76","4662.308",".103","45446.5"
"AL","E C Gaston","26","3","07-04-1995","24","24","4128","","31.057","1.488",".384","7.965","4280.035",".103","41720"
"AL","E C Gaston","26","3","07-05-1995","24","24","4596","","30.303","1.323",".398","9.059","4694.583",".103","45760.2"
"AL","E C Gaston","26","3","07-06-1995","24","24","4706","","27.643","1.188",".407","9.45","4798.282",".103","46771.8"
"AL","E C Gaston","26","3","07-07-1995","24","24","4872","","28.812","1.174",".406","9.751","4984.964",".103","48590"
"AL","E C Gaston","26","3","07-08-1995","24","24","4602","","28.738","1.253",".402","9.14","4691.579",".103","45731.8"
"AL","E C Gaston","26","4","07-02-1995","24","24","3696","","20.899","1.117",".433","8.075","3839.481",".103","37425.7"
"AL","E C Gaston","26","4","07-03-1995","24","24","4233","","33.713","1.488",".396","8.169","4341.592",".103","42320.3"
"AL","E C Gaston","26","4","07-04-1995","24","24","3789","","28.533","1.488",".384","7.318","3931.365",".103","38321.4"
"AL","E C Gaston","26","4","07-05-1995","24","24","4739","","31.09","1.323",".398","9.312","4839.217",".103","47170.2"
"AL","E C Gaston","26","4","07-06-1995","24","24","4644","","27.29","1.188",".407","9.319","4736.518",".103","46169.9"
"AL","E C Gaston","26","4","07-07-1995","24","24","4687","","27.731","1.174",".406","9.369","4793.936",".103","46728"
"AL","E C Gaston","26","4","07-08-1995","24","24","4333","","27.005","1.253",".402","8.607","4418.121",".103","43066.2"
"AL","E C Gaston","26","5","07-02-1995","24","24","13384","","86.197","1.192",".458","31.757","14843.8",".103","144689.8"
"AL","E C Gaston","26","5","07-03-1995","24","24","15606","","115.75","1.365",".423","34.24","17136.9",".103","167036.9"
"AL","E C Gaston","26","5","07-04-1995","24","24","13858","","121.332","1.609",".435","31.572","15567.1",".103","151734.8"
"AL","E C Gaston","26","5","07-05-1995","24","24","15914","","120.058","1.452",".415","33.675","17195.3",".103","167608.5"
"AL","E C Gaston","26","5","07-06-1995","24","24","16361","","109.835","1.293",".372","31.485","17598.7",".103","171537.5"
"AL","E C Gaston","26","5","07-07-1995","24","24","16210","","105.614","1.25",".404","33.988","17222.7",".103","167873"
"AL","E C Gaston","26","5","07-08-1995","24","24","15316","","104.482","1.32",".436","33.188","16152.6",".103","157443.3"
"AL","Colbert","47","1","07-02-1995","24","24","2583","","25.551","1.891",".403","5.525","2963.88",".109","27099.893"
"AL","Colbert","47","1","07-03-1995","24","24","2259","","21.72","1.817",".416","5.045","2633.805",".109","24081.178"
"AL","Colbert","47","1","07-04-1995","24","24","1742","","14.174","1.52",".385","3.618","2050.139",".109","18744.305"
"AL","Colbert","47","1","07-05-1995","24","24","2851","","26.621","1.778",".379","5.657","3261.622",".109","29821.673"
"AL","Colbert","47","1","07-06-1995","24","24","2812","","25.467","1.712",".404","5.949","3252.748",".109","29740.532"
"AL","Colbert","47","1","07-07-1995","24","24","2794","","24.394","1.624",".409","6.192","3281.233",".109","30000.691"
"AL","Colbert","47","1","07-08-1995","24","24","3508","","29.596","1.567",".414","7.804","4103.95",".109","37522.74"
"AL","Colbert","47","2","07-02-1995","24","24","4232","","42.326","1.891",".403","9.01","4894.557",".109","44752.976"
"AL","Colbert","47","2","07-03-1995","24","24","4498","","43.555","1.817",".416","9.957","5243.498",".109","47942.079"
"AL","Colbert","47","2","07-04-1995","24","24","4286","","35.184","1.52",".385","8.917","5064.856",".109","46307.816"
"AL","Colbert","47","2","07-05-1995","24","24","4085","","38.245","1.778",".379","8.148","4706.91",".109","43036.463"
"AL","Colbert","47","2","07-06-1995","24","24","4153","","38.06","1.712",".404","8.977","4864.599",".109","44478.23"
"AL","Colbert","47","2","07-07-1995","24","24","4191","","36.992","1.624",".409","9.31","4982.108",".109","45552.144"
"AL","Colbert","47","2","07-08-1995","24","24","4098","","34.546","1.567",".414","9.119","4822.166",".109","44089.699"
"AL","Colbert","47","3","07-02-1995","24","24","2509","","24.842","1.891",".403","5.374","2881.04",".109","26342.485"
"AL","Colbert","47","3","07-03-1995","24","24","2284","","21.898","1.817",".416","5.09","2660.071",".109","24321.449"
"AL","Colbert","47","3","07-04-1995","24","24","2866","","23.814","1.52",".385","6.055","3386.567",".109","30963.258"
"AL","Colbert","47","3","07-05-1995","24","24","3691","","34.668","1.778",".379","7.379","4244.449",".109","38807.972"
"AL","Colbert","47","3","07-06-1995","24","24","2909","","26.385","1.712",".404","6.173","3370.1",".109","30813.478"
"AL","Colbert","47","3","07-07-1995","24","24","2473","","21.637","1.624",".409","5.483","2911.505",".109","26620.25"
"AL","Colbert","47","3","07-08-1995","24","24","2640","","22.16","1.567",".414","5.858","3079.472",".109","28155.853"
"AL","Colbert","47","4","07-02-1995","24","24","2593","","25.666","1.891",".403","5.555","2977.12",".109","27220.945"
"AL","Colbert","47","4","07-03-1995","24","24","2191","","21.13","1.817",".416","4.883","2552.133",".109","23334.498"
"AL","Colbert","47","4","07-04-1995","24","24","1744","","14.173","1.52",".385","3.616","2047.845",".109","18723.321"
"AL","Colbert","47","4","07-05-1995","24","24","2878","","26.932","1.778",".379","5.725","3298.124",".109","30155.39"
"AL","Colbert","47","4","07-06-1995","24","24","2947","","26.715","1.712",".404","6.232","3413.851",".109","31213.465"
"AL","Colbert","47","4","07-07-1995","24","24","2491","","21.827","1.624",".409","5.534","2937.858",".109","26861.213"
"AL","Colbert","47","4","07-08-1995","24","24","2630","","22.081","1.567",".414","5.836","3064.908",".109","28022.708"
"AL","Colbert","47","5","07-02-1995","0","0","","","","","","","","",""
"AL","Colbert","47","5","07-03-1995","18.5","19","546","","17.592","1.94",".182","1.537","1344.25",".108","12465.95"
"AL","Colbert","47","5","07-04-1995","21.75","22","6284","","102.267","3.008",".351","12.527","6846.65",".108","63492.725"
"AL","Colbert","47","5","07-05-1995","19.75","20","2669","","47.181","2.381",".298","5.957","3460.575",".108","32092.05"
"AL","Colbert","47","5","07-06-1995","24","24","9911","","160.09","3.407",".401","18.855","10133.8",".108","93978.5"
"AL","Colbert","47","5","07-07-1995","24","24","10233","","165.121","3.426",".415","20.034","10397.9",".108","96426.7"
"AL","Colbert","47","5","07-08-1995","24","24","10708","","158.298","3.154",".411","20.666","10830.1",".108","100433.7"
"AL","Charles R Lowman","56","2","07-02-1995","24","24","5089","","8.165",".281",".575","16.7","5918.5",".103","57684"
"AL","Charles R Lowman","56","2","07-03-1995","24","24","5162","","13.027",".443",".587","17.33","6018.7",".103","58662.2"
"AL","Charles R Lowman","56","2","07-04-1995","24","24","5362","","16.696",".547",".597","18.162","6224.8",".103","60670.3"
"AL","Charles R Lowman","56","2","07-05-1995","24","24","5627","","15.914",".495",".611","19.471","6522.9",".103","63576.8"
"AL","Charles R Lowman","56","2","07-06-1995","24","24","5185","","10.944",".37",".587","17.342","6044.5",".103","58912.7"
"AL","Charles R Lowman","56","2","07-07-1995","24","24","5566","","15.556",".492",".601","19.019","6472.5",".103","63084.3"
"AL","Charles R Lowman","56","2","07-08-1995","24","24","5282","","9.527",".318",".596","17.868","6122.7",".103","59675.2"
"AL","Charles R Lowman","56","3","07-02-1995","24","24","4615","","9.197",".353",".638","16.249","5193",".103","50613.8"
"AL","Charles R Lowman","56","3","07-03-1995","24","24","4759","","13.602",".51",".596","15.411","5316.7",".103","51817.5"
"AL","Charles R Lowman","56","3","07-04-1995","24","24","5041","","15.469",".552",".602","16.588","5683.4",".103","55394.1"
"AL","Charles R Lowman","56","3","07-05-1995","24","24","5121","","15.679",".555",".604","17.012","5783.7",".103","56370"
"AL","Charles R Lowman","56","3","07-06-1995","24","24","5001","","13.536",".474",".559","15.357","5628.2",".103","54854"
"AL","Charles R Lowman","56","3","07-07-1995","24","24","5049","","15.999",".567",".57","16.012","5753.3",".103","56076"
"AL","Charles R Lowman","56","3","07-08-1995","24","24","4906","","10.225",".377",".606","16.278","5511.1",".103","53715.3"
"AL","Gadsden","7","1","07-01-1995","24","24","786","","19.279","3.22",".583","3.488","1227.6",".103","11973.8"
"AL","Gadsden","7","2","07-01-1995","24","24","823","","16.53","3.519",".679","3.175","962.8",".103","9392.6"
"AL","E C Gaston","26","1","07-01-1995","24","24","3237","","18.318","1.11",".371","6.438","3415.345",".103","33292.5"
"AL","E C Gaston","26","2","07-01-1995","24","24","3178","","18.011","1.11",".371","6.319","3357.755",".103","32731.2"
"AL","E C Gaston","26","3","07-01-1995","24","24","3884","","22.451","1.139",".41","8.093","4040.917",".103","39389.4"
"AL","E C Gaston","26","4","07-01-1995","24","24","3563","","20.609","1.139",".41","7.428","3709.583",".103","36159.7"
"AL","E C Gaston","26","5","07-01-1995","24","24","13789","","90.055","1.22",".454","33.071","15159.6",".103","147765.4"
"AL","Colbert","47","1","07-01-1995","24","24","3160","","29.89","1.802",".408","6.663","3609.317",".109","33000.795"
"AL","Colbert","47","2","07-01-1995","24","24","4235","","40.224","1.802",".408","9.141","4889.339",".109","44704.559"
"AL","Colbert","47","3","07-01-1995","24","24","3065","","28.941","1.802",".408","6.473","3498.811",".109","31990.428"
"AL","Colbert","47","4","07-01-1995","24","24","3143","","29.694","1.802",".408","6.63","3586.834",".109","32795.219"
"AL","Colbert","47","5","07-01-1995","0","0","","","","","","","","",""
"AL","Charles R Lowman","56","2","07-01-1995","24","24","5088","","8.872",".311",".57","16.282","5853.8",".103","57055.3"
"AL","Gadsden","7","1","07-09-1995","24","24","989","","20.564","3.326",".651","3.962","1269.8",".103","12385.1"
"AL","Gadsden","7","1","07-10-1995","24","24","1114","","21.398","3.047",".628","4.308","1442.3",".103","14066.3"
"AL","Gadsden","7","1","07-11-1995","24","24","1171","","19.987","2.732",".604","4.363","1523.1",".103","14855.6"
"AL","Gadsden","7","1","07-12-1995","24","24","1045","","18.237","2.74",".613","3.991","1353.3",".103","13201.5"
"AL","Gadsden","7","1","07-13-1995","24","24","1268","","23.732","2.981",".59","4.65","1639.3",".103","15986.7"
"AL","Colbert","47","1","07-09-1995","24","24","4569","","38.673","1.575",".409","10.027","5373.185",".109","49127.812"
"AL","Colbert","47","1","07-10-1995","24","24","4543","","32.554","1.358",".402","9.612","5244.983",".109","47954.992"
"AL","Colbert","47","1","07-11-1995","24","24","4062","","30.454","1.443",".426","8.966","4623.303",".109","42271.874"
"AL","Colbert","47","1","07-12-1995","24","24","4476","","33.567","1.435",".414","9.656","5111.716",".109","46737.352"
"AL","Colbert","47","1","07-13-1995","24","24","4615","","32.43","1.319",".4","9.818","5374.261",".109","49137.607"
"AL","Colbert","47","1","07-14-1995","24","24","4619","","36.444","1.485",".408","9.998","5365.194",".109","49054.901"
"AL","Colbert","47","1","07-15-1995","24","24","4608","","35.511","1.447",".422","10.334","5363.99",".109","49044.137"
"AL","Colbert","47","2","07-09-1995","24","24","4307","","36.421","1.575",".409","9.451","5056.698",".109","46234.169"
"AL","Colbert","47","2","07-10-1995","24","24","4318","","30.916","1.358",".402","9.142","4980.845",".109","45540.025"
"AL","Colbert","47","2","07-11-1995","24","24","4521","","33.993","1.443",".426","10.035","5153.943",".109","47123.604"
"AL","Colbert","47","2","07-12-1995","24","24","4498","","33.727","1.435",".414","9.724","5142.548",".109","47019.307"
"AL","Gadsden","7","1","07-23-1995","24","24","1115","","19.649","2.711",".593","4.282","1479.3",".103","14427"
"AL","Gadsden","7","1","07-24-1995","3.75","4","56","","1.078","2.788",".209",".162","79.2",".103","772"
"AL","Gadsden","7","1","07-25-1995","9","9","2","",".017",".073",".164",".024","26.6",".101","262.6"
"AL","Gadsden","7","1","07-26-1995","20.75","21","1193","","19.968","2.557",".615","4.725","1504.45",".103","14672.475"
"AL","Gadsden","7","1","07-27-1995","24","24","1169","","19.625","2.709",".621","4.433","1479.7",".103","14431.5"
"AL","Gadsden","7","1","07-28-1995","24","24","1016","","17.17","2.745",".607","3.773","1279.8",".103","12484.6"
"AL","Gadsden","7","1","07-29-1995","24","24","983","","16.663","2.712",".626","3.814","1258.7",".102","12279.1"
"AL","Gadsden","7","2","07-23-1995","24","24","1065","","18.341","2.762",".583","3.822","1358.5",".102","13251.3"
"AL","Gadsden","7","2","07-24-1995","24","24","1222","","23.216","2.859",".623","5.075","1658.1",".103","16170.8"
"AL","Gadsden","7","2","07-25-1995","24","24","1253","","23.987","2.82",".609","5.185","1684.2",".103","16426.3"
"AL","Gadsden","7","2","07-26-1995","24","24","1311","","24.452","2.83",".598","5.169","1769.9",".103","17259.3"
"AL","Gadsden","7","2","07-27-1995","24","24","1082","","21.127","2.904",".567","4.111","1492.5",".103","14558.1"
"AL","Gadsden","7","2","07-28-1995","24","24","992","","19.664","2.896",".513","3.478","1391.2",".103","13571.5"
"AL","Gadsden","7","2","07-29-1995","24","24","951","","18.589","2.799",".533","3.533","1361.9",".103","13284.2"
"AL","E C Gaston","26","1","07-23-1995","24","24","4813","","45.443","1.837",".371","9.114","4897.938",".103","47742.4"
"AL","E C Gaston","26","1","07-24-1995","24","24","5678","","38.55","1.376",".41","11.542","5727.847",".103","55830.5"
"AL","E C Gaston","26","1","07-25-1995","24","24","4656","","28.637","1.237",".402","9.295","4738.187",".103","46186.2"
"AL","E C Gaston","26","1","07-26-1995","24","24","5013","","29.671","1.184",".384","9.656","5139.367",".103","50095"
"AL","E C Gaston","26","1","07-27-1995","24","24","4603","","27.465","1.191",".362","8.421","4709.143",".103","45902.1"
"AL","E C Gaston","26","1","07-28-1995","24","24","5036","","29.724","1.163",".376","9.892","5263.052",".103","51301.1"
"AL","E C Gaston","26","1","07-29-1995","24","24","4651","","27.706","1.178",".371","9.167","4912.382",".103","47883.8"
"AL","E C Gaston","26","2","07-23-1995","24","24","4934","","46.454","1.837",".371","9.336","5031.662",".103","49046"
"AL","E C Gaston","26","2","07-24-1995","24","24","5737","","38.973","1.376",".41","11.66","5787.853",".103","56415.4"
"AL","E C Gaston","26","2","07-25-1995","24","24","4967","","30.559","1.237",".402","9.923","5061.013",".103","49333"
"AL","E C Gaston","26","2","07-26-1995","24","24","4906","","29.04","1.184",".384","9.453","5031.133",".103","49040"
"AL","E C Gaston","26","2","07-27-1995","24","24","4529","","27.082","1.191",".362","8.336","4637.257",".103","45201.5"
"AL","E C Gaston","26","2","07-28-1995","24","24","4813","","28.316","1.163",".376","9.508","5014.648",".103","48879.7"
"AL","E C Gaston","26","2","07-29-1995","24","24","4611","","27.62","1.178",".371","9.064","4878.618",".103","47554.8"
"AL","E C Gaston","26","3","07-23-1995","24","24","5347","","51.323","1.858",".361","9.688","5489.296",".103","53506.7"
"AL","E C Gaston","26","3","07-24-1995","24","24","5910","","38.907","1.324",".368","10.839","6054.113",".103","59011.3"
"AL","Gadsden","7","1","07-14-1995","24","24","1322","","23.427","2.811",".613","5.011","1708.2",".103","16659.2"
"AL","Gadsden","7","1","07-15-1995","24","24","1111","","19.275","2.713",".596","4.07","1448.2",".103","14122"
"AL","Gadsden","7","2","07-09-1995","24","24","965","","19.642","3.137",".587","3.67","1284",".102","12526.4"
"AL","Gadsden","7","2","07-10-1995","24","24","1046","","22.408","3.171",".552","3.908","1442.1",".103","14065.3"
"AL","Gadsden","7","2","07-11-1995","24","24","1133","","21.82","2.95",".574","4.337","1540.5",".103","15026"
"AL","Gadsden","7","2","07-12-1995","24","24","1059","","17.725","2.678",".528","3.486","1370.7",".103","13370.9"
"AL","Gadsden","7","2","07-13-1995","24","24","1182","","19.503","2.695",".496","3.569","1499.9",".103","14629.5"
"AL","Gadsden","7","2","07-14-1995","24","24","1110","","19.12","2.751",".547","3.848","1443.3",".103","14079.3"
"AL","Gadsden","7","2","07-15-1995","24","24","1051","","19.962","2.832",".595","4.201","1449.2",".103","14133.9"
"AL","E C Gaston","26","1","07-09-1995","24","24","3982","","31.224","1.662",".361","7.418","4063.861",".103","39613.2"
"AL","E C Gaston","26","1","07-10-1995","24","24","5084","","34.549","1.412",".387","9.647","4954.775",".103","48297.6"
"AL","E C Gaston","26","1","07-11-1995","24","24","5697","","36.169","1.305",".377","10.46","5685.372",".103","55417.4"
"AL","E C Gaston","26","1","07-12-1995","24","24","5379","","31.83","1.193",".378","10.149","5472.981",".103","53348.2"
"AL","E C Gaston","26","1","07-13-1995","24","24","5514","","33.503","1.211",".38","10.568","5662.364",".103","55193"
"AL","E C Gaston","26","1","07-14-1995","24","24","5258","","29.956","1.145",".387","10.242","5345.496",".103","52103.9"
"AL","E C Gaston","26","1","07-15-1995","24","24","4866","","31.313","1.277",".356","8.84","4998.198",".103","48720.1"
"AL","E C Gaston","26","2","07-09-1995","24","24","3950","","31.09","1.662",".361","7.357","4039.139",".103","39372.2"
"AL","E C Gaston","26","2","07-10-1995","24","24","5032","","34.197","1.412",".387","9.562","4909.025",".103","47851.6"
"AL","E C Gaston","26","2","07-11-1995","24","24","5175","","32.767","1.305",".377","9.616","5194.428",".103","50631.8"
"AL","E C Gaston","26","2","07-12-1995","24","24","5312","","31.444","1.193",".378","10.025","5406.719",".103","52702.3"
"AL","E C Gaston","26","2","07-13-1995","24","24","5191","","31.662","1.211",".38","9.994","5345.936",".103","52108.7"
"AL","E C Gaston","26","2","07-14-1995","24","24","5204","","29.667","1.145",".387","10.132","5296.804",".103","51629.4"
"AL","E C Gaston","26","2","07-15-1995","24","24","4848","","31.146","1.277",".356","8.807","4989.602",".103","48636.4"
"AL","E C Gaston","26","3","07-09-1995","24","24","4424","","33.099","1.52",".394","8.736","4507.842",".103","43942.1"
"AL","E C Gaston","26","3","07-10-1995","24","24","5404","","37.547","1.412",".408","10.677","5446.065",".103","53085.6"
"AL","E C Gaston","26","3","07-11-1995","24","24","5860","","39.775","1.352",".39","11.474","6031.414",".103","58790.2"
"AL","E C Gaston","26","3","07-12-1995","24","24","5607","","34.067","1.244",".392","10.657","5608.11",".103","54663.3"
"AL","E C Gaston","26","3","07-13-1995","24","24","5431","","33.421","1.234",".403","10.913","5545.191",".103","54050.6"
"AL","E C Gaston","26","3","07-14-1995","24","24","5479","","30.609","1.144",".402","10.736","5486.778",".103","53479.8"
"AL","E C Gaston","26","3","07-15-1995","24","24","5315","","31.145","1.21",".392","10.163","5302.976",".103","51689.9"
"AL","E C Gaston","26","4","07-09-1995","24","24","4002","","29.985","1.52",".394","7.905","4081.358",".103","39784.8"
"AL","E C Gaston","26","4","07-10-1995","24","24","5228","","36.273","1.412",".408","10.305","5261.435",".103","51286"
"AL","E C Gaston","26","4","07-11-1995","24","24","5381","","35.979","1.352",".39","10.454","5494.286",".103","53554.5"
"AL","E C Gaston","26","4","07-12-1995","24","24","5443","","33.067","1.244",".392","10.325","5439.79",".103","53022.6"
"AL","E C Gaston","26","4","07-13-1995","24","24","5385","","33.155","1.234",".403","10.83","5494.409",".103","53555.6"
"AL","E C Gaston","26","4","07-14-1995","24","24","5404","","30.17","1.144",".402","10.563","5406.222",".103","52694.6"
"AL","E C Gaston","26","4","07-15-1995","24","24","5111","","29.849","1.21",".392","9.773","5097.124",".103","49683.4"
"AL","E C Gaston","26","5","07-09-1995","24","24","14885","","107.559","1.441",".437","31.164","15369.1",".103","149805.4"
"AL","E C Gaston","26","5","07-10-1995","24","24","15259","","101.751","1.435",".494","35.388","15056.7",".103","146763"
"AL","E C Gaston","26","5","07-11-1995","7.5","8","0","",".003","",".019","","0","","0"
"AL","E C Gaston","26","5","07-12-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","5","07-13-1995","12.5","13","3984","","28.681","1.134",".371","8.641","4437.1",".103","43252.35"
"AL","E C Gaston","26","5","07-14-1995","24","24","17742","","111.714","1.219",".423","38.965","18916.9",".103","184385.9"
"AL","E C Gaston","26","5","07-15-1995","24","24","17141","","102.851","1.162",".46","40.471","18275.9",".103","178138.3"
"AL","E C Gaston","26","3","07-25-1995","24","24","5992","","34.902","1.165",".399","11.943","6148.294",".103","59930.6"
"AL","E C Gaston","26","3","07-26-1995","24","24","5689","","34.802","1.213",".394","11.203","5859.527",".103","57114.5"
"AL","E C Gaston","26","3","07-27-1995","24","24","5485","","36.788","1.213",".381","11.484","6241.629",".103","60841.01"
"AL","E C Gaston","26","3","07-28-1995","24","24","5322","","34.209","1.156",".414","12.267","6078",".103","59249.2"
"AL","E C Gaston","26","3","07-29-1995","24","24","5088","","30.464","1.103",".417","11.48","5661.4",".103","55188.7"
"AL","E C Gaston","26","4","07-23-1995","24","24","5213","","50.248","1.858",".361","9.446","5348.504",".103","52134.3"
"AL","E C Gaston","26","4","07-24-1995","24","24","5794","","38.064","1.324",".368","10.618","5932.887",".103","57829.6"
"AL","E C Gaston","26","4","07-25-1995","24","24","5728","","33.353","1.165",".399","11.39","5871.906",".103","57236.5"
